День,Конверсии,"CR, %","CPA, ₽","Отказы, %",Глубина просмотра,"Доход, ₽","ДРР, %",ROI,"Прибыль, ₽","Доход (от ценности конверсий), ₽","ДРР (по ценности), %",ROI (по ценности),"Прибыль (по ценности), ₽",Уровень вовлеченности,"Цена вовлечения, ₽","Коэффициент вовлеченности, %","Расход, ₽",Показы,Клики,"CTR, %","CPC, ₽","CPM, ₽","Ср. ставка за клик, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика,Охват,Ср. частота показов
Итого,2,0.79,7596.17,29.54,1.05,0.00,,-1.00,-15192.35,1000.00,1519.23,-0.93,-14192.35,3.84,3951.84,1.53,15192.35,3690,252,6.83,60.29,4117.17,79.54,1987.65,12.68,53.87,3.78,2.12,2783,1.33
17.02.2026,0,0.00,-,38.10,1.00,0.00,-,-1.00,-1488.40,0.00,-,-1.00,-1488.40,-,-,-,1488.40,432,25,5.79,59.54,3445.37,85.49,226.50,11.04,52.43,3.69,1.79,341,1.27
18.02.2026,0,0.00,-,24.00,1.00,0.00,-,-1.00,-2009.30,0.00,-,-1.00,-2009.30,-,-,-,2009.30,373,27,7.24,74.42,5386.87,100.39,203.16,13.29,54.47,3.61,2.38,275,1.36
19.02.2026,0,0.00,-,32.00,1.08,0.00,-,-1.00,-1881.68,0.00,-,-1.00,-1881.68,-,-,-,1881.68,258,25,9.69,75.27,7293.35,95.63,140.77,17.76,54.56,3.71,2.08,195,1.32
20.02.2026,0,0.00,-,18.75,1.00,0.00,-,-1.00,-1083.48,0.00,-,-1.00,-1083.48,-,-,-,1083.48,253,16,6.32,67.72,4282.54,86.43,142.78,11.21,56.43,3.71,2.13,197,1.28
21.02.2026,0,0.00,-,23.53,1.00,0.00,-,-1.00,-1486.42,0.00,-,-1.00,-1486.42,-,-,-,1486.42,164,19,11.59,78.23,9063.53,98.91,102.44,18.55,62.47,3.63,2.16,122,1.34
22.02.2026,0,0.00,-,40.00,1.00,0.00,-,-1.00,-392.99,0.00,-,-1.00,-392.99,-,-,-,392.99,81,5,6.17,78.60,4851.70,97.50,51.67,9.68,63.79,3.41,2.20,69,1.17
23.02.2026,0,0.00,-,26.67,1.07,0.00,-,-1.00,-936.45,0.00,-,-1.00,-936.45,-,-,-,936.45,196,15,7.65,62.43,4777.78,84.76,113.44,13.22,57.88,3.57,1.57,161,1.22
24.02.2026,1,4.17,2002.39,41.67,1.17,0.00,-,-1.00,-2002.39,500.00,400.48,-0.75,-1502.39,-,-,-,2002.39,309,24,7.77,83.43,6480.22,109.67,192.76,12.45,62.38,3.47,1.71,244,1.27
25.02.2026,0,0.00,-,35.29,1.00,0.00,-,-1.00,-1207.95,0.00,-,-1.00,-1207.95,-,-,-,1207.95,193,17,8.81,71.06,6258.78,98.71,112.21,15.15,58.14,3.72,2.00,169,1.14
26.02.2026,0,0.00,-,20.00,1.00,0.00,-,-1.00,-479.73,0.00,-,-1.00,-479.73,-,-,-,479.73,251,16,6.37,29.98,1911.27,41.99,111.22,14.39,44.31,4.34,2.75,201,1.25
27.02.2026,0,0.00,-,22.22,1.17,0.00,-,-1.00,-749.07,0.00,-,-1.00,-749.07,-,-,-,749.07,269,21,7.81,35.67,2784.63,44.38,120.82,17.38,44.91,4.12,2.72,214,1.26
28.02.2026,0,0.00,-,25.00,1.08,0.00,-,-1.00,-513.19,0.00,-,-1.00,-513.19,-,-,-,513.19,262,13,4.96,39.48,1958.73,50.88,119.54,10.87,45.63,3.93,2.42,197,1.33
01.03.2026,1,7.69,420.87,40.00,1.07,0.00,-,-1.00,-420.87,500.00,84.17,0.19,79.13,-,-,-,420.87,310,13,4.19,32.37,1357.66,40.43,130.40,9.97,42.07,4.12,2.31,248,1.25
02.03.2026,0,0.00,-,25.00,1.00,0.00,-,-1.00,-540.43,0.00,-,-1.00,-540.43,-,-,-,540.43,339,16,4.72,33.78,1594.20,42.72,219.94,7.27,64.88,3.63,1.69,257,1.32
